review,score,cleaning,baku,slang_replaced
"I liked the taste ðŸ‘…, price ðŸ’° and the delivery ðŸ“¦.",5,i liked the taste       price      and the delivery      ,i liked the taste price and the delivery,[]
"I tried strawberry & blueberry. Lots of filling, though bars are on the small side. Good with coffee or tea. Will keep buying.",4,i tried strawberry   blueberry  lots of filling  though bars are on the small side  good with coffee or tea  will keep buying ,i tried strawberry blueberry lots of filling though bars are on the small side good with coffee or tea will keep buying,[]
They were stale. Bottom crust was very hard,1,they were stale  bottom crust was very hard,they were stale bottom crust was very hard,[]
"Taste great. As a diabetic, it was useful to bring up low blood sugars.",5,taste great  as a diabetic  it was useful to bring up low blood sugars ,taste great as a diabetic it was useful to bring up low blood sugars,[]
These about made me get sick. They taste like two pieces of cardboard with strawberry jelly in the middle. YUK!,1,these about made me get sick  they taste like two pieces of cardboard with strawberry jelly in the middle  yuk ,these about made me get sick they taste like two pieces of cardboard with strawberry jelly in the middle yuk,[]
"These were gone in a day or two. They were so tasty, and cheaper than more known brands.",5,these were gone in a day or two  they were so tasty  and cheaper than more known brands ,these were gone in a day or two they were so tasty and cheaper than more known brands,[]
"I love raspberry, but we go through twice as many of the blueberry bars...use them for snacks and dessert.",5,i love raspberry  but we go through twice as many of the blueberry bars   use them for snacks and dessert ,i love raspberry but we go through twice as many of the blueberry bars use them for snacks and dessert,[]
"I will have to cancel this subscription. I guess no one cared to check the expiration  date. The candy had turned white,that's how old it was.",2,i will have to cancel this subscription  i guess no one cared to check the expiration  date  the candy had turned white that s how old it was ,i will have to cancel this subscription i guess no one cared to check the expiration date the candy had turned white that s how old it was,[]
Great candy and 9.0 ounce bag is the perfect size to last several days .,5,great candy and   ounce bag is the perfect size to last several days  ,great candy and ounce bag is the perfect size to last several days,[]
These are just skittles on Amazon. But they were good. I sent them out of the country for someone to try.,5,these are just skittles on amazon  but they were good  i sent them out of the country for someone to try ,these are just skittles on amazon but they were good i sent them out of the country for someone to try,[]
hard to the point they were inedible. Obviously sitting in a warehouse somewhere way too long. Wound up throwing the whole bag away.,1,hard to the point they were inedible  obviously sitting in a warehouse somewhere way too long  wound up throwing the whole bag away ,hard to the point they were inedible obviously sitting in a warehouse somewhere way too long wound up throwing the whole bag away,[]
Normal taste. But why are they oxidized and powdery? The expiration date is a year away. I think you need better storage.,2,normal taste  but why are they oxidized and powdery  the expiration date is a year away  i think you need better storage ,normal taste but why are they oxidized and powdery the expiration date is a year away i think you need better storage,[]
Can't go wrong with a big bag of Skittles.,5,can t go wrong with a big bag of skittles ,can t go wrong with a big bag of skittles,[]
I haven't been able to leave the house much lately. Ugh! There was a small promotion going on for the size. They definitely worth the money and being delivered was the added bonus!,5,i haven t been able to leave the house much lately  ugh  there was a small promotion going on for the size  they definitely worth the money and being delivered was the added bonus ,i haven t been able to leave the house much lately ugh there was a small promotion going on for the size they definitely worth the money and being delivered was the added bonus,[]
Perfect flavor and texture!,5,perfect flavor and texture ,perfect flavor and texture,[]
"Gave me a sick stomach and bad aftertaste. Received bag in April/23, expires in July/23. Bag was crumpled but not opened. Upon opening noticed the color of the skittles were not so bright. Many had melt marks like they were exposed to a hot environment and stuck to each other. Then there's a weird dusty grey coating, no idea what that is. Ate about 20, mistake.",1,gave me a sick stomach and bad aftertaste  received bag in april   expires in july   bag was crumpled but not opened  upon opening noticed the color of the skittles were not so bright  many had melt marks like they were exposed to a hot environment and stuck to each other  then there s a weird dusty grey coating  no idea what that is  ate about   mistake ,gave me a sick stomach and bad aftertaste received bag in april expires in july bag was crumpled but not opened upon opening noticed the color of the skittles were not so bright many had melt marks like they were exposed to a hot environment and stuck to each other then there s a weird dusty grey coating no idea what that is ate about mistake,[]
"Use by date was still 2 months into the future but the product was extremely stale- rock-hard, discolored, and completely inedible.  Whole bag thrown out.",1,use by date was still  months into the future but the product was extremely stale  rock hard  discolored  and completely inedible   whole bag thrown out ,use by date was still months into the future but the product was extremely stale rock hard discolored and completely inedible whole bag thrown out,[]
I love this stuff!,5,i love this stuff ,i love this stuff,[]
Fast delivery and great snack mix. It was fresh and will definitely purchase again.,5,fast delivery and great snack mix  it was fresh and will definitely purchase again ,fast delivery and great snack mix it was fresh and will definitely purchase again,[]
"Love these. Arrived ok, no damages.",4,love these  arrived ok  no damages ,love these arrived okay no damages,['ok']
"We thoroughly enjoyed this traditional snack mix!  It was fresh, tasty, with just the right amount of seasoning.  A good ""throw-back!""",5,we thoroughly enjoyed this traditional snack mix   it was fresh  tasty  with just the right amount of seasoning   a good  throw back  ,we thoroughly enjoyed this traditional snack mix it was fresh tasty with just the right amount of seasoning a good throw back,[]
There were not enough pretzel pieces.,4,there were not enough pretzel pieces ,there were not enough pretzel pieces,[]
Great flavor.,5,great flavor ,great flavor,[]
"The snack itself is great, though not necessarily in powder form. It was shipped in a bag, so the snack didn't make it in one piece",4,the snack itself is great  though not necessarily in powder form  it was shipped in a bag  so the snack didn t make it in one piece,the snack itself is great though not necessarily in powder form it was shipped in a bag so the snack didn t make it in one piece,[]
"These crunchy delights are so good, they are impossible to put down! More please!",5,these crunchy delights are so good  they are impossible to put down  more please ,these crunchy delights are so good they are impossible to put down more please,[]
"So good that my neighbor stole mine and I had to order another!!Unfortunately now I can't eat them because I've just had emergency oral surgery, but they taste great ðŸ˜­ðŸ˜­ðŸ˜­ I just can't have any!",5,so good that my neighbor stole mine and i had to order another  unfortunately now i can t eat them because i ve just had emergency oral surgery  but they taste great              i just can t have any ,so good that my neighbor stole mine and i had to order another unfortunately now i can t eat them because i ve just had emergency oral surgery but they taste great i just can t have any,[]
It was a delicious snack.,5,it was a delicious snack ,it was a delicious snack,[]
"I love these & normally have zero issues .They arrived on a warm day, but not hot .I brought package in as soon as they arrived, the chocolate was already melted & a mess from being in the delivery truck all day. I tried to return, but it wasnâ€™t allowed, I just tossed them.",1,i love these   normally have zero issues  they arrived on a warm day  but not hot  i brought package in as soon as they arrived  the chocolate was already melted   a mess from being in the delivery truck all day  i tried to return  but it wasn   t allowed  i just tossed them ,i love these normally have zero issues they arrived on a warm day but not hot i brought package in as soon as they arrived the chocolate was already melted a mess from being in the delivery truck all day i tried to return but it wasn t allowed i just tossed them,[]
I LOVE the mini and thin version of this bar.  These are the BEST!,5,i love the mini and thin version of this bar   these are the best ,i love the mini and thin version of this bar these are the best,[]
"These are so far the only flavor of Kind bars that I eat. If you can afford to keep them around, they're a good alternative to the more common junk food.",5,these are so far the only flavor of kind bars that i eat  if you can afford to keep them around  they re a good alternative to the more common junk food ,these are so far the only flavor of kind bars that i eat if you can afford to keep them around they re a good alternative to the more common junk food,[]
great for snacks.,5,great for snacks ,great for snacks,[]
I love that I can order this flavor alone vs.  In a multi flavor pack.,5,i love that i can order this flavor alone vs   in a multi flavor pack ,i love that i can order this flavor alone vs in a multi flavor pack,[]
always very tasty snack,5,always very tasty snack,always very tasty snack,[]
Not as flavorful as I expected but some may like the salty flavor.,3,not as flavorful as i expected but some may like the salty flavor ,not as flavorful as i expected but some may like the salty flavor,[]
I enjoyed these and will buy more in the future,4,i enjoyed these and will buy more in the future,i enjoyed these and will buy more in the future,[]
OMG the only bad thing about these is itâ€™s hard to stop with just one!,5,omg the only bad thing about these is it   s hard to stop with just one ,oh my god the only bad thing about these is it s hard to stop with just one,['omg']
"Wow! These are delicious, the perfect size, and so fresh.",5,wow  these are delicious  the perfect size  and so fresh ,wow these are delicious the perfect size and so fresh,[]
ok some pieces was not fully formed,3,ok some pieces was not fully formed,okay some pieces was not fully formed,['ok']
They have gotten smaller than they usually are. Wonder why they changed. Same flavor.,4,they have gotten smaller than they usually are  wonder why they changed  same flavor ,they have gotten smaller than they usually are wonder why they changed same flavor,[]
I thought this was one box nope itâ€™s many. My bf loves them I donâ€™t. But I can taste cinnamon and sugar in the air when he eats them so they must be good.,5,i thought this was one box nope it   s many  my bf loves them i don   t  but i can taste cinnamon and sugar in the air when he eats them so they must be good ,i thought this was one box nope it s many my bf loves them i don t but i can taste cinnamon and sugar in the air when he eats them so they must be good,[]
"I have ordered these many times, this time, even though the expiration date is May 2024, they are extremely stale. Very disappointing.",1,i have ordered these many times  this time  even though the expiration date is may   they are extremely stale  very disappointing ,i have ordered these many times this time even though the expiration date is may they are extremely stale very disappointing,[]
"Fast delivery, perfect packaging, delicious candy.",5,fast delivery  perfect packaging  delicious candy ,fast delivery perfect packaging delicious candy,[]
ðŸ‘,4,    ,,[]
My hot tamales are very hard and chewy. Not like the typical ones I usually get. I think these have been sitting around or something. Definitely not fresh.,4,my hot tamales are very hard and chewy  not like the typical ones i usually get  i think these have been sitting around or something  definitely not fresh ,my hot tamales are very hard and chewy not like the typical ones i usually get i think these have been sitting around or something definitely not fresh,[]
Always good,5,always good,always good,[]
perfectly fresh and delivered on time,5,perfectly fresh and delivered on time,perfectly fresh and delivered on time,[]
These were Sykes old tasting. Defiantly not fresh,2,these were sykes old tasting  defiantly not fresh,these were sykes old tasting defiantly not fresh,[]
The freshness & flavors are out. I had to eat a 2nd one.,5,the freshness   flavors are out  i had to eat a nd one ,the freshness flavors are out i had to eat a nd one,[]
I really like that it wasnâ€™t squished box and fresh.,5,i really like that it wasn   t squished box and fresh ,i really like that it wasn t squished box and fresh,[]
"I didn't expect to like these as much as I do. They are REALLY good. I like the blueberry and vanilla bars, too. :)",5,i didn t expect to like these as much as i do  they are really good  i like the blueberry and vanilla bars  too    ,i didn t expect to like these as much as i do they are really good i like the blueberry and vanilla bars too,[]
"Looks like Iâ€™m going to have to give up one of my favorite snacks. Iâ€™ve discovered that these cause bad gas. This flavor is the worst. Also the caramel.The one that causes the least gas is the dark chocolate almond.Itâ€™s disappointing. Neither nuts or cranberries give me gas, so it must be something else.The last box I got was really lacking in cranberry pieces, too.",3,looks like i   m going to have to give up one of my favorite snacks  i   ve discovered that these cause bad gas  this flavor is the worst  also the caramel the one that causes the least gas is the dark chocolate almond it   s disappointing  neither nuts or cranberries give me gas  so it must be something else the last box i got was really lacking in cranberry pieces  too ,looks like i m going to have to give up one of my favorite snacks i ve discovered that these cause bad gas this flavor is the worst also the caramel the one that causes the least gas is the dark chocolate almond it s disappointing neither nuts or cranberries give me gas so it must be something else the last box i got was really lacking in cranberry pieces too,[]
Love these KIND Bars. Tasty and Healthy.  Good value for the money. Arrive Quickly.,5,love these kind bars  tasty and healthy   good value for the money  arrive quickly ,love these kind bars tasty and healthy good value for the money arrive quickly,[]
Kind makes some great stuff. This? Not so much.,3,kind makes some great stuff  this  not so much ,kind makes some great stuff this not so much,[]
It has funky smell and my kids refuse to eat.,1,it has funky smell and my kids refuse to eat ,it has funky smell and my kids refuse to eat,[]
These cranberry kind bars are delicious. I started eating kind bars 15 years ago when I began to change my diet in a quest to lose weight. Over an 18 month period and 2 kind bars a day combined with a healthy diet I lost 160 pounds. I still eat 2 bars per day.,5,these cranberry kind bars are delicious  i started eating kind bars  years ago when i began to change my diet in a quest to lose weight  over an  month period and  kind bars a day combined with a healthy diet i lost  pounds  i still eat  bars per day ,these cranberry kind bars are delicious i started eating kind bars years ago when i began to change my diet in a quest to lose weight over an month period and kind bars a day combined with a healthy diet i lost pounds i still eat bars per day,[]
"Want a yummy alternative to granola?  I crumble this bar on top of my morning oatmeal or greek yogurt.  It adds the perfect amount of sweetness and satisfying crunch, in addition to a nice hit of protein.  Highly recommend!",4,want a yummy alternative to granola   i crumble this bar on top of my morning oatmeal or greek yogurt   it adds the perfect amount of sweetness and satisfying crunch  in addition to a nice hit of protein   highly recommend ,want a yummy alternative to granola i crumble this bar on top of my morning oatmeal or greek yogurt it adds the perfect amount of sweetness and satisfying crunch in addition to a nice hit of protein highly recommend,[]
Sabor incomparable. Realmente buenas barras.,5,sabor incomparable  realmente buenas barras ,sabor incomparable realmente buenas barras,[]
"These cookies are really outstanding. The vanilla's additiion was a welcome addition to a really great cookies. Even better. They are a perfect accompaniment to a cup of coffee, tea or a glass of milk. An outstanding.experience!",5,these cookies are really outstanding  the vanilla s additiion was a welcome addition to a really great cookies  even better  they are a perfect accompaniment to a cup of coffee  tea or a glass of milk  an outstanding experience ,these cookies are really outstanding the vanilla s additiion was a welcome addition to a really great cookies even better they are a perfect accompaniment to a cup of coffee tea or a glass of milk an outstanding experience,[]
"My God, these things are incredible.  But it's impossible to eat just one, you have to eat the entire package.  That's about 8 times the recommended maximum daily amount of butter.  Your arteries will look like the Los Angeles freeway during rush hour, except the cars will be chunks of deadlocked fat throughout your circulatory system.  But who cares, the taste is worth dying for!!",5,my god  these things are incredible   but it s impossible to eat just one  you have to eat the entire package   that s about  times the recommended maximum daily amount of butter   your arteries will look like the los angeles freeway during rush hour  except the cars will be chunks of deadlocked fat throughout your circulatory system   but who cares  the taste is worth dying for  ,my god these things are incredible but it s impossible to eat just one you have to eat the entire package that s about times the recommended maximum daily amount of butter your arteries will look like the los angeles freeway during rush hour except the cars will be chunks of deadlocked fat throughout your circulatory system but who cares the taste is worth dying for,[]
"I like that was light cookie , excepted more butter flavor â€¦ disappointed",3,i like that was light cookie   excepted more butter flavor     disappointed,i like that was light cookie excepted more butter flavor disappointed,[]
A good tasting snack along with a nice cup of coffee.,5,a good tasting snack along with a nice cup of coffee ,a good tasting snack along with a nice cup of coffee,[]
"They are larger cookies than other brands,",3,they are larger cookies than other brands ,they are larger cookies than other brands,[]
I love Walker Scottish Shortbread cookies.Great with a cup of tea or coffee,5,i love walker scottish shortbread cookies great with a cup of tea or coffee,i love walker scottish shortbread cookies great with a cup of tea or coffee,[]
Delicious cookies!,5,delicious cookies ,delicious cookies,[]
They are always so great.Maple crÃ¨me to cookie ratio is amazing. Theyâ€™re always so nice tasting.,5,they are always so great maple cr  me to cookie ratio is amazing  they   re always so nice tasting ,they are always so great maple cr me to cookie ratio is amazing they re always so nice tasting,[]
"The flavor & texture of these is great!Taste like my grandma made.  BUT,They arrived all in pieces. They make a fantastic cookie & should be proud  & pkg them better to arrive whole for guests etc. I'd send as gifts if could know they would arrive better. Work on this folks cause their GREAT COOKIES!!!",4,the flavor   texture of these is great taste like my grandma made   but they arrived all in pieces  they make a fantastic cookie   should be proud    pkg them better to arrive whole for guests etc  i d send as gifts if could know they would arrive better  work on this folks cause their great cookies   ,the flavor texture of these is great taste like my grandma made but they arrived all in pieces they make a fantastic cookie should be proud pkg them better to arrive whole for guests etc i d send as gifts if could know they would arrive better work on this folks cause their great cookies,[]
"Thought I would try these as a treat as I remembered them.  Either the recipe has changed or perhaps it's my taste buds, but I was disappointed.",2,thought i would try these as a treat as i remembered them   either the recipe has changed or perhaps it s my taste buds  but i was disappointed ,thought i would try these as a treat as i remembered them either the recipe has changed or perhaps it s my taste buds but i was disappointed,[]
"When I ordered these, the first time they came and the bag was opened. Because I was leery about eating a food product that might have been tampered with, I got a refund. I ordered a second time and they came perfect and were delicious. Good customer service!",5,when i ordered these  the first time they came and the bag was opened  because i was leery about eating a food product that might have been tampered with  i got a refund  i ordered a second time and they came perfect and were delicious  good customer service ,when i ordered these the first time they came and the bag was opened because i was leery about eating a food product that might have been tampered with i got a refund i ordered a second time and they came perfect and were delicious good customer service,[]
Good for kids,5,good for kids,good for kids,[]
Came perfectly packaged and a great big bag of candy! Just what we needed,5,came perfectly packaged and a great big bag of candy  just what we needed,came perfectly packaged and a great big bag of candy just what we needed,[]
GREAT TO CARRY IN BACKPACK,5,great to carry in backpack,great to carry in backpack,[]
I buy smarties in bulk a couple times a year to use as incentive for good behavior. These arrived quickly but were just loose in the box. No bag.,4,i buy smarties in bulk a couple times a year to use as incentive for good behavior  these arrived quickly but were just loose in the box  no bag ,i buy smarties in bulk a couple times a year to use as incentive for good behavior these arrived quickly but were just loose in the box no bag,[]
Always delicious!,5,always delicious ,always delicious,[]
Did your job,5,did your job,did your job,[]
These candies are getting hard to find in stores. Much more convenient than searching all over for them. And they are always good quality and fairly good price.,5,these candies are getting hard to find in stores  much more convenient than searching all over for them  and they are always good quality and fairly good price ,these candies are getting hard to find in stores much more convenient than searching all over for them and they are always good quality and fairly good price,[]
"Cheap bulk price with all the flavor still present. These arrived quickly, undamaged, and were used in my classroom to motivate students before the state assessment.",5,cheap bulk price with all the flavor still present  these arrived quickly  undamaged  and were used in my classroom to motivate students before the state assessment ,cheap bulk price with all the flavor still present these arrived quickly undamaged and were used in my classroom to motivate students before the state assessment,[]
Easter candy purchase. Horrific smell when opened bag - like rotten fish. Candy wrappers all smell fishy. I cannot use this product and there is NO WAY to return this. This seller is dumping bad candy and you have no recourse. You have been warned.,1,easter candy purchase  horrific smell when opened bag   like rotten fish  candy wrappers all smell fishy  i cannot use this product and there is no way to return this  this seller is dumping bad candy and you have no recourse  you have been warned ,easter candy purchase horrific smell when opened bag like rotten fish candy wrappers all smell fishy i cannot use this product and there is no way to return this this seller is dumping bad candy and you have no recourse you have been warned,[]
It has both sweet taste with just enough salt to make it munch.,5,it has both sweet taste with just enough salt to make it munch ,it has both sweet taste with just enough salt to make it munch,[]
Love that this is a bigger box than sold in stores. Easy for snack and to toss in school lunches. My 9 year olds go to for a snack.,5,love that this is a bigger box than sold in stores  easy for snack and to toss in school lunches  my  year olds go to for a snack ,love that this is a bigger box than sold in stores easy for snack and to toss in school lunches my year olds go to for a snack,[]
Good,5,good,good,[]
Love the taste and is all the snack you need between meals.,5,love the taste and is all the snack you need between meals ,love the taste and is all the snack you need between meals,[]
My husband and I really enjoy these granola bars especially the chewy ones. Takes away that hunger feeling.  Very filling you actually feel like youâ€™ve eaten something that will keep you to the next meal,5,my husband and i really enjoy these granola bars especially the chewy ones  takes away that hunger feeling   very filling you actually feel like you   ve eaten something that will keep you to the next meal,my husband and i really enjoy these granola bars especially the chewy ones takes away that hunger feeling very filling you actually feel like you ve eaten something that will keep you to the next meal,[]
Love them. Always fresh!,5,love them  always fresh ,love them always fresh,[]
"These taste really good.  We were sampling for snack bags for homeless.  Teeth being in good repair is necessary.  I was saddened - the price and flavor is good, but only if you chew them.",4,these taste really good   we were sampling for snack bags for homeless   teeth being in good repair is necessary   i was saddened   the price and flavor is good  but only if you chew them ,these taste really good we were sampling for snack bags for homeless teeth being in good repair is necessary i was saddened the price and flavor is good but only if you chew them,[]
LIKED FLAVOR,5,liked flavor,liked flavor,[]
I was so excited to see these in a bigger box at a great price....I use to be addicted to these yrs ago so I stopped purchasing them lol....I got a box of 6 in the store a few days ago and it reminded me of how Amazing they were...So I purchased these On Amazon and definitely Not the same Fresh Melt in your mouth taste...I won't buy these on here again.... however....I shouldn't have been getting them anyway... so I guess it was supposed to happen that wayðŸ˜­,2,i was so excited to see these in a bigger box at a great price    i use to be addicted to these yrs ago so i stopped purchasing them lol    i got a box of  in the store a few days ago and it reminded me of how amazing they were   so i purchased these on amazon and definitely not the same fresh melt in your mouth taste   i won t buy these on here again     however    i shouldn t have been getting them anyway    so i guess it was supposed to happen that way    ,i was so excited to see these in a bigger box at a great price i use to be addicted to these yrs ago so i stopped purchasing them laughing out loud i got a box of in the store a few days ago and it reminded me of how amazing they were so i purchased these on amazon and definitely not the same fresh melt in your mouth taste i won t buy these on here again however i shouldn t have been getting them anyway so i guess it was supposed to happen that way,['lol']
good snack bar,5,good snack bar,good snack bar,[]
"Warning do not attempt. You might die. Extremely dangerous. I've eaten three years worth. Do not rub your eyes, immediately wash your hands after handling, may cause extreme burning sensation. Tomorrow morning will be worse.",5,warning do not attempt  you might die  extremely dangerous  i ve eaten three years worth  do not rub your eyes  immediately wash your hands after handling  may cause extreme burning sensation  tomorrow morning will be worse ,warning do not attempt you might die extremely dangerous i ve eaten three years worth do not rub your eyes immediately wash your hands after handling may cause extreme burning sensation tomorrow morning will be worse,[]
"So, like many teenage boys in our world today, the teen in my household wanted to try the One Chip Challenge. I was familiar with this challenge beforehand, but knew it was going to intense! I agreed to order it for him, as long as he did the challenge at home and I was present. It was delivered in the package with its own packaging (like pictured), and had instructions or better yet, warnings and educational information about the chip itself. Gloves were included as well. Let me tell you... he didn't last even a minute! He chugged so much milk, that he felt sick a couple days later. YOLO, but even he said he wouldn't do it again haha. So if you're down to experience the intense heat, stomach pain, and possibly other side effects, this is for you!",4,so  like many teenage boys in our world today  the teen in my household wanted to try the one chip challenge  i was familiar with this challenge beforehand  but knew it was going to intense  i agreed to order it for him  as long as he did the challenge at home and i was present  it was delivered in the package with its own packaging  like pictured   and had instructions or better yet  warnings and educational information about the chip itself  gloves were included as well  let me tell you    he didn t last even a minute  he chugged so much milk  that he felt sick a couple days later  yolo  but even he said he wouldn t do it again haha  so if you re down to experience the intense heat  stomach pain  and possibly other side effects  this is for you ,so like many teenage boys in our world today the teen in my household wanted to try the one chip challenge i was familiar with this challenge beforehand but knew it was going to intense i agreed to order it for him as long as he did the challenge at home and i was present it was delivered in the package with its own packaging like pictured and had instructions or better yet warnings and educational information about the chip itself gloves were included as well let me tell you he didn t last even a minute he chugged so much milk that he felt sick a couple days later yolo but even he said he wouldn t do it again haha so if you re down to experience the intense heat stomach pain and possibly other side effects this is for you,[]
Quick delivery in perfect condition,5,quick delivery in perfect condition,quick delivery in perfect condition,[]
"And now I know why no one liked Warren Harding. Ewwww, bro. Eww.This chip is a shingle from the saddest house that perished along with the rest of Alderaan.Carrot Top is a vibe nowBob Ross spoke 38 languages (fifteen of which he wrote himself)Now, for some happy trees!",4,and now i know why no one liked warren harding  ew  bro  eww this chip is a shingle from the saddest house that perished along with the rest of alderaan carrot top is a vibe nowbob ross spoke  languages  fifteen of which he wrote himself now  for some happy trees ,and now i know why no one liked warren harding ew bro eww this chip is a shingle from the saddest house that perished along with the rest of alderaan carrot top is a vibe nowbob ross spoke languages fifteen of which he wrote himself now for some happy trees,[]
Only a quarter of it very hot and taste so bad,5,only a quarter of it very hot and taste so bad,only a quarter of it very hot and taste so bad,[]
I can tolerate HEAT but this go crazy,5,i can tolerate heat but this go crazy,i can tolerate heat but this go crazy,[]
The chip tasted super stale.  Would never buy again.,1,the chip tasted super stale   would never buy again ,the chip tasted super stale would never buy again,[]
"My husband loves hot food! He has an ongoing, and growing collection of the world's hottest foods, salsa, sauces, and any other hot extract that we can find. He was able to beat the heat for well over ten minutes, but had a really bad belly ache for a few days afterwards.  I was worried he damaged his stomach lining.",5,my husband loves hot food  he has an ongoing  and growing collection of the world s hottest foods  salsa  sauces  and any other hot extract that we can find  he was able to beat the heat for well over ten minutes  but had a really bad belly ache for a few days afterwards   i was worried he damaged his stomach lining ,my husband loves hot food he has an ongoing and growing collection of the world s hottest foods salsa sauces and any other hot extract that we can find he was able to beat the heat for well over ten minutes but had a really bad belly ache for a few days afterwards i was worried he damaged his stomach lining,[]
Theirs good flavorful spicy then theirs spicy for no reason . This is definitely spicy for no reason & there is no flavor to it just spice that will have you hating yourself for even trying it . This is by far the dumbest â€œchallengeâ€ anyone could try & a waste of money,1,theirs good flavorful spicy then theirs spicy for no reason   this is definitely spicy for no reason   there is no flavor to it just spice that will have you hating yourself for even trying it   this is by far the dumbest    challenge    anyone could try   a waste of money,theirs good flavorful spicy then theirs spicy for no reason this is definitely spicy for no reason there is no flavor to it just spice that will have you hating yourself for even trying it this is by far the dumbest challenge anyone could try a waste of money,[]
When I bought this chip I was thinking I can down this chip with no problem but then the heat started to get to me and then I was on fire.,5,when i bought this chip i was thinking i can down this chip with no problem but then the heat started to get to me and then i was on fire ,when i bought this chip i was thinking i can down this chip with no problem but then the heat started to get to me and then i was on fire,[]
"Itâ€™s tasty, but boy is it tiny. Maybe it just seemed bigger when I was a kid? I feel like they used to be thicker and longer, but maybe thatâ€™s just me. Still so good though lol. Maybe itâ€™s meant for kids, I donâ€™t know. Sharpie for scale.",4,it   s tasty  but boy is it tiny  maybe it just seemed bigger when i was a kid  i feel like they used to be thicker and longer  but maybe that   s just me  still so good though lol  maybe it   s meant for kids  i don   t know  sharpie for scale ,it s tasty but boy is it tiny maybe it just seemed bigger when i was a kid i feel like they used to be thicker and longer but maybe that s just me still so good though laughing out loud maybe it s meant for kids i don t know sharpie for scale,['lol']
Stale,1,stale,stale,[]
These are very tasty.  The price cud not be beat.,5,these are very tasty   the price cud not be beat ,these are very tasty the price cud not be beat,[]
"While the product is what it says it is, the flavor of the icing that holds everything together utterly overpowers everything else making it more like an icing bar than a cereal bar.",1,while the product is what it says it is  the flavor of the icing that holds everything together utterly overpowers everything else making it more like an icing bar than a cereal bar ,while the product is what it says it is the flavor of the icing that holds everything together utterly overpowers everything else making it more like an icing bar than a cereal bar,[]
Taste great. Pack these for school lunch. Works perfect.,5,taste great  pack these for school lunch  works perfect ,taste great pack these for school lunch works perfect,[]
Good value for this product!,5,good value for this product ,good value for this product,[]
Works great for husbands snacks in his lunch,5,works great for husbands snacks in his lunch,works great for husbands snacks in his lunch,[]
I bought them for my grandson. My son says he loves them!,5,i bought them for my grandson  my son says he loves them ,i bought them for my grandson my son says he loves them,[]
Have reordered this deliciousness.,5,have reordered this deliciousness ,have reordered this deliciousness,[]
"I really wanted something that tasted like Lucky Charms.  This is like soggy/chewy Lucky Charms. :(  And they're really sweet.  If you like that, have at it, otherwise take a pass.",2,i really wanted something that tasted like lucky charms   this is like soggy chewy lucky charms      and they re really sweet   if you like that  have at it  otherwise take a pass ,i really wanted something that tasted like lucky charms this is like soggy chewy lucky charms and they re really sweet if you like that have at it otherwise take a pass,[]
"I bought this for my Mother, she likes the gum.",5,i bought this for my mother  she likes the gum ,i bought this for my mother she likes the gum,[]
Former smoker love this gum,5,former smoker love this gum,former smoker love this gum,[]
"Thatâ€™s all, thanks!",5,that   s all  thanks ,that s all thanks,[]
"Disappointed to why I received several envelopes of the gum, rather than one box",5,disappointed to why i received several envelopes of the gum  rather than one box,disappointed to why i received several envelopes of the gum rather than one box,[]
This sugar free gum satiates my sweet cravings and helps me not to overindulge.  I keep it handy to prevent over indulging calorically.,5,this sugar free gum satiates my sweet cravings and helps me not to overindulge   i keep it handy to prevent over indulging calorically ,this sugar free gum satiates my sweet cravings and helps me not to overindulge i keep it handy to prevent over indulging calorically,[]
This has always been good gum.Amazing flavor for being so small it's very powerful and lasts for a while.You won't be disappointed.,5,this has always been good gum amazing flavor for being so small it s very powerful and lasts for a while you won t be disappointed ,this has always been good gum amazing flavor for being so small it s very powerful and lasts for a while you won t be disappointed,[]
No tengo mucho que comentar volverÃ© a comprar y la prÃ³xima vez mÃ¡s .XD,5,no tengo mucho que comentar volver   a comprar y la pr  xima vez m  s  xd,no tengo mucho que comentar volver a comprar y la pr xima vez m s xd,[]
"Gum was stale, clearly old",1,gum was stale  clearly old,gum was stale clearly old,[]
I love Orbit and trident. Cannot go wrong with minty icy flavors. They are fresh never stale.,4,i love orbit and trident  cannot go wrong with minty icy flavors  they are fresh never stale ,i love orbit and trident cannot go wrong with minty icy flavors they are fresh never stale,[]
the flavor lasts for hourssss and itâ€™s really good,5,the flavor lasts for hours and it   s really good,the flavor lasts for hours and it s really good,[]
Horrible shelf life only 20 days,1,horrible shelf life only  days,horrible shelf life only days,[]
"I live 40 minutes from a rather rural convenience store that offers Ruffles and bags have radically gone up in my area. Having this as an option for convenient shipping and pricing, It's a no brainer!",5,i live  minutes from a rather rural convenience store that offers ruffles and bags have radically gone up in my area  having this as an option for convenient shipping and pricing  it s a no brainer ,i live minutes from a rather rural convenience store that offers ruffles and bags have radically gone up in my area having this as an option for convenient shipping and pricing it s a no brainer,[]
EXCELLENT snack!,5,excellent snack ,excellent snack,[]
Like,5,like,like,[]
Thumbs up,5,thumbs up,thumbs up,[]
good product,3,good product,good product,[]
Old tasting,1,old tasting,old tasting,[]
