,text,final_label,tokenized,stopword_remove,steming_data
239,great portion size,Positive,"['great', 'portion', 'size']","['great', 'portion', 'size']","['great', 'portion', 'size']"
240,good,Positive,['good'],['good'],['good']
241,they were fresh and lightly salted no complaints,Positive,"['they', 'were', 'fresh', 'and', 'lightly', 'salted', 'no', 'complaints']","['fresh', 'lightly', 'salted', 'complaints']","['fresh', 'lightli', 'salt', 'complaint']"
242,worked great,Positive,"['worked', 'great']","['worked', 'great']","['work', 'great']"
243,great for having on my desk good price for the amount,Positive,"['great', 'for', 'having', 'on', 'my', 'desk', 'good', 'price', 'for', 'the', 'amount']","['great', 'desk', 'good', 'price', 'amount']","['great', 'desk', 'good', 'price', 'amount']"
244,product arrived opened nuts everywhere in the shipping box and crushed only to out it is not returnable and it is not refundable i should not have bought this item,Negative,"['product', 'arrived', 'opened', 'nuts', 'everywhere', 'in', 'the', 'shipping', 'box', 'and', 'crushed', 'only', 'to', 'out', 'it', 'is', 'not', 'returnable', 'and', 'it', 'is', 'not', 'refundable', 'i', 'should', 'not', 'have', 'bought', 'this', 'item']","['product', 'arrived', 'opened', 'nuts', 'everywhere', 'shipping', 'box', 'crushed', 'returnable', 'refundable', 'bought', 'item']","['product', 'arriv', 'open', 'nut', 'everywher', 'ship', 'box', 'crush', 'return', 'refund', 'bought', 'item']"
245,great,Positive,['great'],['great'],['great']
246,fresh fresh and fresh i was very impressed with the freshness of these nuts i love the fact that they re automatically portion controlled will definitely buy them again,Positive,"['fresh', 'fresh', 'and', 'fresh', 'i', 'was', 'very', 'impressed', 'with', 'the', 'freshness', 'of', 'these', 'nuts', 'i', 'love', 'the', 'fact', 'that', 'they', 're', 'automatically', 'portion', 'controlled', 'will', 'definitely', 'buy', 'them', 'again']","['fresh', 'fresh', 'fresh', 'impressed', 'freshness', 'nuts', 'love', 'fact', 'automatically', 'portion', 'controlled', 'definitely', 'buy']","['fresh', 'fresh', 'fresh', 'impress', 'fresh', 'nut', 'love', 'fact', 'automat', 'portion', 'control', 'definit', 'buy']"
247,healthy snacks aren t easy to come by these single serving bags were perfect for my latest trip i ll be sure to order more,Positive,"['healthy', 'snacks', 'aren', 't', 'easy', 'to', 'come', 'by', 'these', 'single', 'serving', 'bags', 'were', 'perfect', 'for', 'my', 'latest', 'trip', 'i', 'll', 'be', 'sure', 'to', 'order', 'more']","['healthy', 'snacks', 'easy', 'come', 'single', 'serving', 'bags', 'perfect', 'latest', 'trip', 'sure', 'order']","['healthi', 'snack', 'easi', 'come', 'singl', 'serv', 'bag', 'perfect', 'latest', 'trip', 'sure', 'order']"
248,favorite brand of pistachios and i love that you go packaging for when needed road trips,Positive,"['favorite', 'brand', 'of', 'pistachios', 'and', 'i', 'love', 'that', 'you', 'go', 'packaging', 'for', 'when', 'needed', 'road', 'trips']","['favorite', 'brand', 'pistachios', 'love', 'go', 'packaging', 'needed', 'road', 'trips']","['favorit', 'brand', 'pistachio', 'love', 'go', 'packag', 'need', 'road', 'trip']"
249,delicious but too expensive,Negative,"['delicious', 'but', 'too', 'expensive']","['delicious', 'expensive']","['delici', 'expens']"
250,tasty bars,Neutral,"['tasty', 'bars']","['tasty', 'bars']","['tasti', 'bar']"
251,highly recommend,Positive,"['highly', 'recommend']","['highly', 'recommend']","['highli', 'recommend']"
252,these bars taste awful they also coat your mouth and they are yucky,Negative,"['these', 'bars', 'taste', 'awful', 'they', 'also', 'coat', 'your', 'mouth', 'and', 'they', 'are', 'yucky']","['bars', 'taste', 'awful', 'also', 'coat', 'mouth', 'yucky']","['bar', 'tast', 'aw', 'also', 'coat', 'mouth', 'yucki']"
253,the taste is amazing low sugar and protein i eat every morning,Positive,"['the', 'taste', 'is', 'amazing', 'low', 'sugar', 'and', 'protein', 'i', 'eat', 'every', 'morning']","['taste', 'amazing', 'low', 'sugar', 'protein', 'eat', 'every', 'morning']","['tast', 'amaz', 'low', 'sugar', 'protein', 'eat', 'everi', 'morn']"
254,i am trusting that this is a protein bar because the flavor makes me think it is a delicious breakfast candy bar and not the overly sweet kind either but mouthwatering flavorful seriously these taste amazing and the nutrition ratios carbs vs fats vs proteins are phenomenal for a snack that tastes this good not really keto friendly with g of carbs but great ratios if you are just going for low carb and want something sweet with decent protein and fat for ish calories,Positive,"['i', 'am', 'trusting', 'that', 'this', 'is', 'a', 'protein', 'bar', 'because', 'the', 'flavor', 'makes', 'me', 'think', 'it', 'is', 'a', 'delicious', 'breakfast', 'candy', 'bar', 'and', 'not', 'the', 'overly', 'sweet', 'kind', 'either', 'but', 'mouthwatering', 'flavorful', 'seriously', 'these', 'taste', 'amazing', 'and', 'the', 'nutrition', 'ratios', 'carbs', 'vs', 'fats', 'vs', 'proteins', 'are', 'phenomenal', 'for', 'a', 'snack', 'that', 'tastes', 'this', 'good', 'not', 'really', 'keto', 'friendly', 'with', 'g', 'of', 'carbs', 'but', 'great', 'ratios', 'if', 'you', 'are', 'just', 'going', 'for', 'low', 'carb', 'and', 'want', 'something', 'sweet', 'with', 'decent', 'protein', 'and', 'fat', 'for', 'ish', 'calories']","['trusting', 'protein', 'bar', 'flavor', 'makes', 'think', 'delicious', 'breakfast', 'candy', 'bar', 'overly', 'sweet', 'kind', 'either', 'mouthwatering', 'flavorful', 'seriously', 'taste', 'amazing', 'nutrition', 'ratios', 'carbs', 'vs', 'fats', 'vs', 'proteins', 'phenomenal', 'snack', 'tastes', 'good', 'really', 'keto', 'friendly', 'g', 'carbs', 'great', 'ratios', 'going', 'low', 'carb', 'want', 'something', 'sweet', 'decent', 'protein', 'fat', 'ish', 'calories']","['trust', 'protein', 'bar', 'flavor', 'make', 'think', 'delici', 'breakfast', 'candi', 'bar', 'overli', 'sweet', 'kind', 'either', 'mouthwat', 'flavor', 'serious', 'tast', 'amaz', 'nutrit', 'ratio', 'carb', 'vs', 'fat', 'vs', 'protein', 'phenomen', 'snack', 'tast', 'good', 'realli', 'keto', 'friendli', 'g', 'carb', 'great', 'ratio', 'go', 'low', 'carb', 'want', 'someth', 'sweet', 'decent', 'protein', 'fat', 'ish', 'calori']"
255,rnative when on the go and need a snack i find these pretty tasty compared to many protein bars i have tried,Positive,"['rnative', 'when', 'on', 'the', 'go', 'and', 'need', 'a', 'snack', 'i', 'find', 'these', 'pretty', 'tasty', 'compared', 'to', 'many', 'protein', 'bars', 'i', 'have', 'tried']","['rnative', 'go', 'need', 'snack', 'find', 'pretty', 'tasty', 'compared', 'many', 'protein', 'bars', 'tried']","['rnativ', 'go', 'need', 'snack', 'find', 'pretti', 'tasti', 'compar', 'mani', 'protein', 'bar', 'tri']"
256,these are always tasty and are great to take for snacks i take them to work and it s a better option than the company vending machine,Positive,"['these', 'are', 'always', 'tasty', 'and', 'are', 'great', 'to', 'take', 'for', 'snacks', 'i', 'take', 'them', 'to', 'work', 'and', 'it', 's', 'a', 'better', 'option', 'than', 'the', 'company', 'vending', 'machine']","['always', 'tasty', 'great', 'take', 'snacks', 'take', 'work', 'better', 'option', 'company', 'vending', 'machine']","['alway', 'tasti', 'great', 'take', 'snack', 'take', 'work', 'better', 'option', 'compani', 'vend', 'machin']"
257,i have always loved power crunch bars and found that they are the best tasting protein bar on the market with the best nutritional value ordering these from amazon also has the best value my favorite flavors so far and chocolate peanut butter and mint i find that vanilla has a very artificial taste my only complaint is that they are incredibly crumbly and messy and impossible to eat on the go or in the car without a mess all in all a very good product,Positive,"['i', 'have', 'always', 'loved', 'power', 'crunch', 'bars', 'and', 'found', 'that', 'they', 'are', 'the', 'best', 'tasting', 'protein', 'bar', 'on', 'the', 'market', 'with', 'the', 'best', 'nutritional', 'value', 'ordering', 'these', 'from', 'amazon', 'also', 'has', 'the', 'best', 'value', 'my', 'favorite', 'flavors', 'so', 'far', 'and', 'chocolate', 'peanut', 'butter', 'and', 'mint', 'i', 'find', 'that', 'vanilla', 'has', 'a', 'very', 'artificial', 'taste', 'my', 'only', 'complaint', 'is', 'that', 'they', 'are', 'incredibly', 'crumbly', 'and', 'messy', 'and', 'impossible', 'to', 'eat', 'on', 'the', 'go', 'or', 'in', 'the', 'car', 'without', 'a', 'mess', 'all', 'in', 'all', 'a', 'very', 'good', 'product']","['always', 'loved', 'power', 'crunch', 'bars', 'found', 'best', 'tasting', 'protein', 'bar', 'market', 'best', 'nutritional', 'value', 'ordering', 'amazon', 'also', 'best', 'value', 'favorite', 'flavors', 'far', 'chocolate', 'peanut', 'butter', 'mint', 'find', 'vanilla', 'artificial', 'taste', 'complaint', 'incredibly', 'crumbly', 'messy', 'impossible', 'eat', 'go', 'car', 'without', 'mess', 'good', 'product']","['alway', 'love', 'power', 'crunch', 'bar', 'found', 'best', 'tast', 'protein', 'bar', 'market', 'best', 'nutrit', 'valu', 'order', 'amazon', 'also', 'best', 'valu', 'favorit', 'flavor', 'far', 'chocol', 'peanut', 'butter', 'mint', 'find', 'vanilla', 'artifici', 'tast', 'complaint', 'incred', 'crumbl', 'messi', 'imposs', 'eat', 'go', 'car', 'without', 'mess', 'good', 'product']"
258,best protein bars i ve ever had,Positive,"['best', 'protein', 'bars', 'i', 've', 'ever', 'had']","['best', 'protein', 'bars', 'ever']","['best', 'protein', 'bar', 'ever']"
259,snap into over slim jim s,Neutral,"['snap', 'into', 'over', 'slim', 'jim', 's']","['snap', 'slim', 'jim']","['snap', 'slim', 'jim']"
260,these boxes expire day after i receive them you should have a good years for this product terrible,Negative,"['these', 'boxes', 'expire', 'day', 'after', 'i', 'receive', 'them', 'you', 'should', 'have', 'a', 'good', 'years', 'for', 'this', 'product', 'terrible']","['boxes', 'expire', 'day', 'receive', 'good', 'years', 'product', 'terrible']","['box', 'expir', 'day', 'receiv', 'good', 'year', 'product', 'terribl']"
261,perfect for on the go and super yummy,Positive,"['perfect', 'for', 'on', 'the', 'go', 'and', 'super', 'yummy']","['perfect', 'go', 'super', 'yummy']","['perfect', 'go', 'super', 'yummi']"
262,i like slim jim s for snacking occasions,Neutral,"['i', 'like', 'slim', 'jim', 's', 'for', 'snacking', 'occasions']","['like', 'slim', 'jim', 'snacking', 'occasions']","['like', 'slim', 'jim', 'snack', 'occas']"
263,smaller than expected but taste was amazing addictive to say the least it was still fresh when i got it,Positive,"['smaller', 'than', 'expected', 'but', 'taste', 'was', 'amazing', 'addictive', 'to', 'say', 'the', 'least', 'it', 'was', 'still', 'fresh', 'when', 'i', 'got', 'it']","['smaller', 'expected', 'taste', 'amazing', 'addictive', 'say', 'least', 'still', 'fresh', 'got']","['smaller', 'expect', 'tast', 'amaz', 'addict', 'say', 'least', 'still', 'fresh', 'got']"
264,love these as a guilty treat post gym however they are way too salty like almost mg of salt in one stick it is simply too much wish they were as salty and as spicy as they are probably won t be ordering again,Negative,"['love', 'these', 'as', 'a', 'guilty', 'treat', 'post', 'gym', 'however', 'they', 'are', 'way', 'too', 'salty', 'like', 'almost', 'mg', 'of', 'salt', 'in', 'one', 'stick', 'it', 'is', 'simply', 'too', 'much', 'wish', 'they', 'were', 'as', 'salty', 'and', 'as', 'spicy', 'as', 'they', 'are', 'probably', 'won', 't', 'be', 'ordering', 'again']","['love', 'guilty', 'treat', 'post', 'gym', 'however', 'way', 'salty', 'like', 'almost', 'mg', 'salt', 'one', 'stick', 'simply', 'much', 'wish', 'salty', 'spicy', 'probably', 'ordering']","['love', 'guilti', 'treat', 'post', 'gym', 'howev', 'way', 'salti', 'like', 'almost', 'mg', 'salt', 'one', 'stick', 'simpli', 'much', 'wish', 'salti', 'spici', 'probabl', 'order']"
265,it s may and the best by date is may the slim jim isn t like a fresh slim jim it s hard and has an off flavor looks like i won t order any more jerky off amazon,Neutral,"['it', 's', 'may', 'and', 'the', 'best', 'by', 'date', 'is', 'may', 'the', 'slim', 'jim', 'isn', 't', 'like', 'a', 'fresh', 'slim', 'jim', 'it', 's', 'hard', 'and', 'has', 'an', 'off', 'flavor', 'looks', 'like', 'i', 'won', 't', 'order', 'any', 'more', 'jerky', 'off', 'amazon']","['may', 'best', 'date', 'may', 'slim', 'jim', 'like', 'fresh', 'slim', 'jim', 'hard', 'flavor', 'looks', 'like', 'order', 'jerky', 'amazon']","['may', 'best', 'date', 'may', 'slim', 'jim', 'like', 'fresh', 'slim', 'jim', 'hard', 'flavor', 'look', 'like', 'order', 'jerki', 'amazon']"
266,the whole box is expired and of course no returns,Negative,"['the', 'whole', 'box', 'is', 'expired', 'and', 'of', 'course', 'no', 'returns']","['whole', 'box', 'expired', 'course', 'returns']","['whole', 'box', 'expir', 'cours', 'return']"
267,i eat this for the protein good flavor and good price,Positive,"['i', 'eat', 'this', 'for', 'the', 'protein', 'good', 'flavor', 'and', 'good', 'price']","['eat', 'protein', 'good', 'flavor', 'good', 'price']","['eat', 'protein', 'good', 'flavor', 'good', 'price']"
268,the outer portion of slim jims is very hard to chew i gave slim jims to a neighbor and i won t order them again,Negative,"['the', 'outer', 'portion', 'of', 'slim', 'jims', 'is', 'very', 'hard', 'to', 'chew', 'i', 'gave', 'slim', 'jims', 'to', 'a', 'neighbor', 'and', 'i', 'won', 't', 'order', 'them', 'again']","['outer', 'portion', 'slim', 'jims', 'hard', 'chew', 'gave', 'slim', 'jims', 'neighbor', 'order']","['outer', 'portion', 'slim', 'jim', 'hard', 'chew', 'gave', 'slim', 'jim', 'neighbor', 'order']"
269,my third order this bag is dry tasteless terrible can t return going in the trash,Negative,"['my', 'third', 'order', 'this', 'bag', 'is', 'dry', 'tasteless', 'terrible', 'can', 't', 'return', 'going', 'in', 'the', 'trash']","['third', 'order', 'bag', 'dry', 'tasteless', 'terrible', 'return', 'going', 'trash']","['third', 'order', 'bag', 'dri', 'tasteless', 'terribl', 'return', 'go', 'trash']"
270,these almonds came in a sealed bag however the almonds were soft and mushy inside absolutely not worth the money and they cannot be returned since it s a food product ps the happy belly walnuts are great,Negative,"['these', 'almonds', 'came', 'in', 'a', 'sealed', 'bag', 'however', 'the', 'almonds', 'were', 'soft', 'and', 'mushy', 'inside', 'absolutely', 'not', 'worth', 'the', 'money', 'and', 'they', 'cannot', 'be', 'returned', 'since', 'it', 's', 'a', 'food', 'product', 'ps', 'the', 'happy', 'belly', 'walnuts', 'are', 'great']","['almonds', 'came', 'sealed', 'bag', 'however', 'almonds', 'soft', 'mushy', 'inside', 'absolutely', 'worth', 'money', 'cannot', 'returned', 'since', 'food', 'product', 'ps', 'happy', 'belly', 'walnuts', 'great']","['almond', 'came', 'seal', 'bag', 'howev', 'almond', 'soft', 'mushi', 'insid', 'absolut', 'worth', 'money', 'cannot', 'return', 'sinc', 'food', 'product', 'ps', 'happi', 'belli', 'walnut', 'great']"
271,too stale can not even eat roasted and still chewy awful,Negative,"['too', 'stale', 'can', 'not', 'even', 'eat', 'roasted', 'and', 'still', 'chewy', 'awful']","['stale', 'even', 'eat', 'roasted', 'still', 'chewy', 'awful']","['stale', 'even', 'eat', 'roast', 'still', 'chewi', 'aw']"
272,based on reviews i tried the oz bag and was unimpressed the almonds had very little crunch and just didn t seem fresh the best buy date is so freshness isn t an issue according to the date on the bag but i was unimpressed nontheless i will try a smaller bag and give the brand another chance but i don t hold high hopes right now,Negative,"['based', 'on', 'reviews', 'i', 'tried', 'the', 'oz', 'bag', 'and', 'was', 'unimpressed', 'the', 'almonds', 'had', 'very', 'little', 'crunch', 'and', 'just', 'didn', 't', 'seem', 'fresh', 'the', 'best', 'buy', 'date', 'is', 'so', 'freshness', 'isn', 't', 'an', 'issue', 'according', 'to', 'the', 'date', 'on', 'the', 'bag', 'but', 'i', 'was', 'unimpressed', 'nontheless', 'i', 'will', 'try', 'a', 'smaller', 'bag', 'and', 'give', 'the', 'brand', 'another', 'chance', 'but', 'i', 'don', 't', 'hold', 'high', 'hopes', 'right', 'now']","['based', 'reviews', 'tried', 'oz', 'bag', 'unimpressed', 'almonds', 'little', 'crunch', 'seem', 'fresh', 'best', 'buy', 'date', 'freshness', 'issue', 'according', 'date', 'bag', 'unimpressed', 'nontheless', 'try', 'smaller', 'bag', 'give', 'brand', 'another', 'chance', 'hold', 'high', 'hopes', 'right']","['base', 'review', 'tri', 'oz', 'bag', 'unimpress', 'almond', 'littl', 'crunch', 'seem', 'fresh', 'best', 'buy', 'date', 'fresh', 'issu', 'accord', 'date', 'bag', 'unimpress', 'nontheless', 'tri', 'smaller', 'bag', 'give', 'brand', 'anoth', 'chanc', 'hold', 'high', 'hope', 'right']"
273,liked low calorie however not roasted and no salt which i prefer left nuts somewhat tasteless,Positive,"['liked', 'low', 'calorie', 'however', 'not', 'roasted', 'and', 'no', 'salt', 'which', 'i', 'prefer', 'left', 'nuts', 'somewhat', 'tasteless']","['liked', 'low', 'calorie', 'however', 'roasted', 'salt', 'prefer', 'left', 'nuts', 'somewhat', 'tasteless']","['like', 'low', 'calori', 'howev', 'roast', 'salt', 'prefer', 'left', 'nut', 'somewhat', 'tasteless']"
274,i did not like the taste some of them were bad i don t like food to go waste so i ate them all but i won t buy them again,Negative,"['i', 'did', 'not', 'like', 'the', 'taste', 'some', 'of', 'them', 'were', 'bad', 'i', 'don', 't', 'like', 'food', 'to', 'go', 'waste', 'so', 'i', 'ate', 'them', 'all', 'but', 'i', 'won', 't', 'buy', 'them', 'again']","['like', 'taste', 'bad', 'like', 'food', 'go', 'waste', 'ate', 'buy']","['like', 'tast', 'bad', 'like', 'food', 'go', 'wast', 'ate', 'buy']"
275,just nuts about them,Negative,"['just', 'nuts', 'about', 'them']",['nuts'],['nut']
276,unfortunately the batch i received was stale and bland tasting reminds me of cardboard i d avoid them unless it s just a rare bad case but i m not sure i want to spend money again on such a risk vastly disappointing,Negative,"['unfortunately', 'the', 'batch', 'i', 'received', 'was', 'stale', 'and', 'bland', 'tasting', 'reminds', 'me', 'of', 'cardboard', 'i', 'd', 'avoid', 'them', 'unless', 'it', 's', 'just', 'a', 'rare', 'bad', 'case', 'but', 'i', 'm', 'not', 'sure', 'i', 'want', 'to', 'spend', 'money', 'again', 'on', 'such', 'a', 'risk', 'vastly', 'disappointing']","['unfortunately', 'batch', 'received', 'stale', 'bland', 'tasting', 'reminds', 'cardboard', 'avoid', 'unless', 'rare', 'bad', 'case', 'sure', 'want', 'spend', 'money', 'risk', 'vastly', 'disappointing']","['unfortun', 'batch', 'receiv', 'stale', 'bland', 'tast', 'remind', 'cardboard', 'avoid', 'unless', 'rare', 'bad', 'case', 'sure', 'want', 'spend', 'money', 'risk', 'vastli', 'disappoint']"
277,i returned as they tasted ranvid not good for eating raw maybe ok for cooking,Negative,"['i', 'returned', 'as', 'they', 'tasted', 'ranvid', 'not', 'good', 'for', 'eating', 'raw', 'maybe', 'ok', 'for', 'cooking']","['returned', 'tasted', 'ranvid', 'good', 'eating', 'raw', 'maybe', 'cooking']","['return', 'tast', 'ranvid', 'good', 'eat', 'raw', 'mayb', 'cook']"
278,good almonds,Positive,"['good', 'almonds']","['good', 'almonds']","['good', 'almond']"
279,these were perfect for my kids,Positive,"['these', 'were', 'perfect', 'for', 'my', 'kids']","['perfect', 'kids']","['perfect', 'kid']"
280,some of the products were stale more than a couple,Negative,"['some', 'of', 'the', 'products', 'were', 'stale', 'more', 'than', 'a', 'couple']","['products', 'stale', 'couple']","['product', 'stale', 'coupl']"
281,video player is loading,Neutral,"['video', 'player', 'is', 'loading']","['video', 'player', 'loading']","['video', 'player', 'load']"
282,fresh undamaged boxes or bags kids apricate them in their lunches,Neutral,"['fresh', 'undamaged', 'boxes', 'or', 'bags', 'kids', 'apricate', 'them', 'in', 'their', 'lunches']","['fresh', 'undamaged', 'boxes', 'bags', 'kids', 'apricate', 'lunches']","['fresh', 'undamag', 'box', 'bag', 'kid', 'apric', 'lunch']"
283,i opened my box and tried to get cookies but there were already openn,Neutral,"['i', 'opened', 'my', 'box', 'and', 'tried', 'to', 'get', 'cookies', 'but', 'there', 'were', 'already', 'openn']","['opened', 'box', 'tried', 'get', 'cookies', 'already', 'openn']","['open', 'box', 'tri', 'get', 'cooki', 'alreadi', 'openn']"
284,each product was very near its expire date,Neutral,"['each', 'product', 'was', 'very', 'near', 'its', 'expire', 'date']","['product', 'near', 'expire', 'date']","['product', 'near', 'expir', 'date']"
285,right size for kids lunch and snacks,Positive,"['right', 'size', 'for', 'kids', 'lunch', 'and', 'snacks']","['right', 'size', 'kids', 'lunch', 'snacks']","['right', 'size', 'kid', 'lunch', 'snack']"
286,i bought this for my fianc for his snacks for work he loved receiving it it made a great addition to the rest of his christmas presents,Positive,"['i', 'bought', 'this', 'for', 'my', 'fianc', 'for', 'his', 'snacks', 'for', 'work', 'he', 'loved', 'receiving', 'it', 'it', 'made', 'a', 'great', 'addition', 'to', 'the', 'rest', 'of', 'his', 'christmas', 'presents']","['bought', 'fianc', 'snacks', 'work', 'loved', 'receiving', 'made', 'great', 'addition', 'rest', 'christmas', 'presents']","['bought', 'fianc', 'snack', 'work', 'love', 'receiv', 'made', 'great', 'addit', 'rest', 'christma', 'present']"
287,great price and variety to send as a care package college or just for fun,Positive,"['great', 'price', 'and', 'variety', 'to', 'send', 'as', 'a', 'care', 'package', 'college', 'or', 'just', 'for', 'fun']","['great', 'price', 'variety', 'send', 'care', 'package', 'college', 'fun']","['great', 'price', 'varieti', 'send', 'care', 'packag', 'colleg', 'fun']"
288,we buy these for our amazon delivery drivers and we tell them to take a snack and a drink,Neutral,"['we', 'buy', 'these', 'for', 'our', 'amazon', 'delivery', 'drivers', 'and', 'we', 'tell', 'them', 'to', 'take', 'a', 'snack', 'and', 'a', 'drink']","['buy', 'amazon', 'delivery', 'drivers', 'tell', 'take', 'snack', 'drink']","['buy', 'amazon', 'deliveri', 'driver', 'tell', 'take', 'snack', 'drink']"
289,my go to breakfast bars,Neutral,"['my', 'go', 'to', 'breakfast', 'bars']","['go', 'breakfast', 'bars']","['go', 'breakfast', 'bar']"
290,hard as rocks not returnable,Negative,"['hard', 'as', 'rocks', 'not', 'returnable']","['hard', 'rocks', 'returnable']","['hard', 'rock', 'return']"
291,tastes good and filling not filled with carbohydrates i love them,Positive,"['tastes', 'good', 'and', 'filling', 'not', 'filled', 'with', 'carbohydrates', 'i', 'love', 'them']","['tastes', 'good', 'filling', 'filled', 'carbohydrates', 'love']","['tast', 'good', 'fill', 'fill', 'carbohydr', 'love']"
292,i love these and eat for breakfast daily,Positive,"['i', 'love', 'these', 'and', 'eat', 'for', 'breakfast', 'daily']","['love', 'eat', 'breakfast', 'daily']","['love', 'eat', 'breakfast', 'daili']"
293,tastes like a treat love that it s got some protein and minimal real food ingredients favorite flavors are chocolate sea salt maple coconut and mint blueberry is also yummy grab the pumpkin slice and gingerbread when seasonally available so good,Positive,"['tastes', 'like', 'a', 'treat', 'love', 'that', 'it', 's', 'got', 'some', 'protein', 'and', 'minimal', 'real', 'food', 'ingredients', 'favorite', 'flavors', 'are', 'chocolate', 'sea', 'salt', 'maple', 'coconut', 'and', 'mint', 'blueberry', 'is', 'also', 'yummy', 'grab', 'the', 'pumpkin', 'slice', 'and', 'gingerbread', 'when', 'seasonally', 'available', 'so', 'good']","['tastes', 'like', 'treat', 'love', 'got', 'protein', 'minimal', 'real', 'food', 'ingredients', 'favorite', 'flavors', 'chocolate', 'sea', 'salt', 'maple', 'coconut', 'mint', 'blueberry', 'also', 'yummy', 'grab', 'pumpkin', 'slice', 'gingerbread', 'seasonally', 'available', 'good']","['tast', 'like', 'treat', 'love', 'got', 'protein', 'minim', 'real', 'food', 'ingredi', 'favorit', 'flavor', 'chocol', 'sea', 'salt', 'mapl', 'coconut', 'mint', 'blueberri', 'also', 'yummi', 'grab', 'pumpkin', 'slice', 'gingerbread', 'season', 'avail', 'good']"
294,i have these bars sent once a month and it has never been a problem but last months box was rock hard,Positive,"['i', 'have', 'these', 'bars', 'sent', 'once', 'a', 'month', 'and', 'it', 'has', 'never', 'been', 'a', 'problem', 'but', 'last', 'months', 'box', 'was', 'rock', 'hard']","['bars', 'sent', 'month', 'never', 'problem', 'last', 'months', 'box', 'rock', 'hard']","['bar', 'sent', 'month', 'never', 'problem', 'last', 'month', 'box', 'rock', 'hard']"
295,omg this is the worst protein bar i have every tasted in my life like chewing on an old tire and the taste is straight out of a sludge factory nasty nasty nasty i tried holding my nose to eat one and no matter what i spit it out eat this an you will need counseling it s that bad go to the hardware store get a rubber door mat and a bag of mixed nuts break an egg on it pour the mixed nuts on it and have a fun yuck,Negative,"['omg', 'this', 'is', 'the', 'worst', 'protein', 'bar', 'i', 'have', 'every', 'tasted', 'in', 'my', 'life', 'like', 'chewing', 'on', 'an', 'old', 'tire', 'and', 'the', 'taste', 'is', 'straight', 'out', 'of', 'a', 'sludge', 'factory', 'nasty', 'nasty', 'nasty', 'i', 'tried', 'holding', 'my', 'nose', 'to', 'eat', 'one', 'and', 'no', 'matter', 'what', 'i', 'spit', 'it', 'out', 'eat', 'this', 'an', 'you', 'will', 'need', 'counseling', 'it', 's', 'that', 'bad', 'go', 'to', 'the', 'hardware', 'store', 'get', 'a', 'rubber', 'door', 'mat', 'and', 'a', 'bag', 'of', 'mixed', 'nuts', 'break', 'an', 'egg', 'on', 'it', 'pour', 'the', 'mixed', 'nuts', 'on', 'it', 'and', 'have', 'a', 'fun', 'yuck']","['omg', 'worst', 'protein', 'bar', 'every', 'tasted', 'life', 'like', 'chewing', 'old', 'tire', 'taste', 'straight', 'sludge', 'factory', 'nasty', 'nasty', 'nasty', 'tried', 'holding', 'nose', 'eat', 'one', 'matter', 'spit', 'eat', 'need', 'counseling', 'bad', 'go', 'hardware', 'store', 'get', 'rubber', 'door', 'mat', 'bag', 'mixed', 'nuts', 'break', 'egg', 'pour', 'mixed', 'nuts', 'fun', 'yuck']","['omg', 'worst', 'protein', 'bar', 'everi', 'tast', 'life', 'like', 'chew', 'old', 'tire', 'tast', 'straight', 'sludg', 'factori', 'nasti', 'nasti', 'nasti', 'tri', 'hold', 'nose', 'eat', 'one', 'matter', 'spit', 'eat', 'need', 'counsel', 'bad', 'go', 'hardwar', 'store', 'get', 'rubber', 'door', 'mat', 'bag', 'mix', 'nut', 'break', 'egg', 'pour', 'mix', 'nut', 'fun', 'yuck']"
296,these are bad nothing redeeming about them i gave them away,Negative,"['these', 'are', 'bad', 'nothing', 'redeeming', 'about', 'them', 'i', 'gave', 'them', 'away']","['bad', 'nothing', 'redeeming', 'gave', 'away']","['bad', 'noth', 'redeem', 'gave', 'away']"
297,i always have a bunch of these my kitchen because they are easy ways to get protein with healthy nutrients as well,Positive,"['i', 'always', 'have', 'a', 'bunch', 'of', 'these', 'my', 'kitchen', 'because', 'they', 'are', 'easy', 'ways', 'to', 'get', 'protein', 'with', 'healthy', 'nutrients', 'as', 'well']","['always', 'bunch', 'kitchen', 'easy', 'ways', 'get', 'protein', 'healthy', 'nutrients', 'well']","['alway', 'bunch', 'kitchen', 'easi', 'way', 'get', 'protein', 'healthi', 'nutrient', 'well']"
298,i ordered mid april and got rxbars that expired on january that should not be allowed,Negative,"['i', 'ordered', 'mid', 'april', 'and', 'got', 'rxbars', 'that', 'expired', 'on', 'january', 'that', 'should', 'not', 'be', 'allowed']","['ordered', 'mid', 'april', 'got', 'rxbars', 'expired', 'january', 'allowed']","['order', 'mid', 'april', 'got', 'rxbar', 'expir', 'januari', 'allow']"
299,item delivered lster so all good thanks,Positive,"['item', 'delivered', 'lster', 'so', 'all', 'good', 'thanks']","['item', 'delivered', 'lster', 'good', 'thanks']","['item', 'deliv', 'lster', 'good', 'thank']"
300,fresh hot popcorn this makes a great gift,Positive,"['fresh', 'hot', 'popcorn', 'this', 'makes', 'a', 'great', 'gift']","['fresh', 'hot', 'popcorn', 'makes', 'great', 'gift']","['fresh', 'hot', 'popcorn', 'make', 'great', 'gift']"
